content,category
"Dat is mijn antwoord, beste collega’s.",NFS
Er is heel kordaat opgetreden en die nieuwe elementen zijn meteen doorgegeven aan de Economische Inspectie.,CFS
"Wij doen een oproep aan alle betrokken ministers om het regeerakkoord uit te voeren, om de wet uit te voeren, en om werk te maken van een energiepact.",NFS
Nochtans hebben we hem drie keer gevraagd om naar de commissie Panama Papers te komen.,CFS
U weet perfect dat als wij spreken over één visum ...,US
We moeten ervoor zorgen dat het personeel van het agentschap onafhankelijk is.,NFS
"Dat siert u allemaal, heren en dames commissarissen.",NFS
"Men vindt die berichten, maar telkens achteraf, nadien.",NFS
De verkiezingen in Duitsland waren op dat vlak ook een signaal.,NFS
Men mag pas arts worden als men een diploma van arts heeft.,UFS
"Dat is duidelijk, mevrouw de minister.",NFS
We bekijken de kostenstructuur van de medische huizen en vergelijken die.,UFS
Ondertussen blijft de haven dalen in de rangschikking van de behandeling van stukgoed en missen we massa's investeringen.,CFS
Op dat vlak hebben wij onze job dus fantastisch gedaan.,NFS
Dus wij zijn benieuwd naar uw reactie in dat verband.,NFS
De onderhandelingen over het CETA-akkoord zijn in 2009 opgestart op basis van een unaniem mandaat van de Europese Raad – dat in 2011 werd aangepast – en werden in 2014 besloten met de publicatie van de teksten.,UFS
Rusland heeft duidelijk een rode lijn overschreden.,NFS
"Wie bekijkt waar de Europeanen land per land kopen en ook kijkt naar de top 3 van de Europeanen, merkt dat die landen tussen Duitsland en het Verenigd Koninkrijk worden verdeeld",CFS
"Dat de betrokkenen, de heer Mayeur en mevrouw Peraïta, inderdaad hun ontslag geven.",NFS
De lobbying is daar ook veel groter.,NFS
Er zitten op dit moment een zestigtal personen in voorhechtenis.,CFS
Voor de inwoners van Aleppo zijn de bombardementen door de troepen van Bashar al-Assad en hun geallieerden een ware nachtmerrie.,NFS
"Le Soir schrijft dat het fenomeen van “fantoomkabinettards”, die eigenlijk op de partijhoofdkwartieren werken, nog steeds bestaat.",CFS
"Enerzijds, is er een PS-politica die, ondanks een riant loon, erin slaagt in een sociale woning terecht te komen en die laat renoveren op kosten van de gemeenschap.",CFS
Dat heb ik gisteren gevoeld op de betoging.,NFS
Tijdens de hoorzittingen werd ook aangekaart dat enkel de erkende beroepen meldingsplichtig zijn.,UFS
Dat kan alleen maar toegejuicht worden,NFS
Gisteren vernamen wij dat 62 miljard via Dubai wordt versluisd.,CFS
Wij hebben gevraagd om 300 daklozen in Brussel op te vangen tijdens de winter.,CFS
Die moeten hem worden toegekend.,NFS
De vraag wordt gesteld of die praktijken al dan niet in Marokko plaatsvinden.,NFS
U hoeft mij dat niet uit te leggen.,NFS
Er zijn nog twee andere categorieën.,UFS
Die is in Kamer en Senaat goedgekeurd in 1993.,UFS
Het zal uiteindelijk de werkgever zijn die beslist.,NFS
Dit is wellicht de aankondiging van een nieuw tijdperk door de NVA.,NFS
"Daarvan waren er blijkbaar drie nog net op tijd om hun erkenning aan te vragen, zodat zij op 1 januari kunnen starten.",UFS
"Mevrouw de minister, ik vind dat een conservatieve besparing.",NFS
Ik zou die uitleg eigenlijk aan mevrouw Smaers moeten laten.,NFS
De machtigingsproblematiek kan op twee manieren worden opgelost.,NFS
"Zij had wel nog enkele uren nodig om haar woorden, of waren het de woorden van haar woordvoerder, effectief terug te nemen.",NFS
"Mijnheer de minister, ons land heeft geprobeerd mee te werken aan een verbetering van de situatie ter plekke.",NFS
"Dat ze overgaan tot de terugbetaling van die zitpenningen, van al die giften van veel mensen die hun hart op de juiste plaats hebben.",NFS
"U ging, met grote woorden, opkuisen.",NFS
We moeten ook alert zijn op het risico dat kinderen het gewelddadige gedrag van hun ouders imiteren.,NFS
In 2017 is abortus nog steeds een 'misdaad tegen de orde der familie en de openbare zedelijkheid'!,CFS
Niemand bleek voorstander te zijn van een militaire interventie met Belgische of andere Europese grondtroepen.,CFS
De groenen staan aan uw kant om alternatieven voor bedrijfswagens te steunen.,NFS
"Er moet 67 miljoen euro gevonden worden, maar u lijkt beter in staat de patiënten te laten bloeden dan de slachtoffers van besmet bloed te vergoeden.",NFS
Wij moeten echter ook rekening houden met het feit dat het OESOrapport van 2015 ons land nog steeds in de top-3 van alle OESOlanden plaatst in de rangschikking van de duurste belastingadministraties ter wereld.,CFS
De Raad van State is van oordeel dat de grenzen van het juridische kader zijn bereikt.,CFS
"Wij moeten de huidige wetgeving absoluut evalueren, stroomlijnen en eraan sleutelen, in de richting van de aanbevelingen die vandaag voorliggen.",NFS
"Mijnheer de minister, we moeten vaststellen dat onze centrales niet honderd procent veilig zijn.",NFS
"Mijnheer de eerste minister, u hebt gezegd dat er geen wet nodig is om transparantie te krijgen.",CFS
Ik hoop dat iedereen nu beseft dat dergelijke stellingen achterhaald zijn en dat het een unieke kans voor ons land is om onze schuldenberg af te toppen,NFS
"U weet dat wij daar ook voorstander van zijn, maar ik maak een heel duidelijke optelsom",NFS
De frigo is hem te koud en daar blijft hij liever af.,NFS
Die regels zijn niet duidelijk.,NFS
Rekening houden met de opleidingen om nieuwe beroepen te erkennen is een logisch proces.,NFS
Ze zijn niet honderd procent veilig en ze zijn niet bedrijfszeker.,NFS
Ik heb die bezorgdheid willen meegeven.,NFS
Ik denk dat we het vooral ook moeten doen met zin voor samenwerking.,NFS
90 kijken voor enige loonsverhoging.,CFS
Wij hebben in december een actieplan opgemaakt dat aan de commissaris werd bezorgd.,UFS
Het is vijf voor twaalf.,NFS
De situatie in Brussel is dramatisch.,NFS
"Ik ben het met u eens dat we niet mogen afwijken van het voorgenomen begrotingspad, want dat zou ook fout zijn.",NFS
De aanbevelingen strekken niet zover dat de Nationale Bank een fiscale controlebevoegdheid verkrijgt.,CFS
Een onderzoeksrechter boezemt vertrouwen in bij de bevolking.,NFS
Ten slotte hebt u niets gezegd over de hervorming van de gezondheidszorgberoepen.,CFS
"Een andere uitloper van dat debat waren de kruisinspecties, die wij met onze buurlanden afgesproken hebben.",NFS
"Uiteraard roept dat een aantal vragen op, mijnheer de minister.",NFS
Er moet totale transparantie komen in de structuren in Brussel.,NFS
"Dat is de enige breuk, op dat moment zijn onze wegen gescheiden.",NFS
U weet perfect dat u dat niet kunt doen.,NFS
"Mijnheer de eerste minister, bedankt voor uw bijna identieke antwoord als vorige week.",NFS
"Samen met 122 andere landen hebben we in de Algemene Vergadering van de Verenigde Naties gevraagd dat er in Aleppo een staakt-het-vuren wordt afgekondigd en dat er bewijzen worden verzameld, omdat wat er zich daar afspeelt, en wat als een schending van de mensenrechten moet worden gekwalificeerd, niet ongestraft kan blijven.",CFS
Alleen Bahrein doet het nog slechter dan België.,CFS
"Tegenover de bevolking, die al die jaren met zeer zware besparingen de zware pil van de verhoging heeft moeten slikken, is het schaamtelijk",NFS
U zult mij daar zodadelijk antwoord op geven.,NFS
Hij heeft op dat moment nagelaten bewijs te leveren.,NFS
Het FANC heeft geoordeeld dat Doel 3 en Tihange 2 opnieuw geopend konden worden.,CFS
Dan is er nog de belastingdruk.,NFS
U hebt ook gezegd dat u de Russische ambassadeur in ons land op het matje zou roepen om tekst en uitleg te vragen.,CFS
In verband met de 38-urenweek vind ik dat de waarheid onrecht wordt aangedaan.,NFS
"Het Zwitserse systeem, bijvoorbeeld, lijkt ons adequaat.",NFS
Zonder advies in te winnen heeft u aangekondigd en beslist dat de mondhygiënisten zouden kunnen worden erkend terwijl daar alleen in de Vlaamse Gemeenschap een opleiding voor bestaat.,CFS
"Ook in België zijn er mensen besmet geraakt door bloedtransfusies, en wel tussen 1985 en 1986, maar het heeft tot 2001 geduurd voordat de slachtoffers een eerste vergoeding kregen.",CFS
Een regering kan niet beslissen om een wet niet uit te voeren.,CFS
"Catalonië, dat zijn wij niet, dat is de EU.",NFS
" U beantwoordt de vragen niet, u herhaalt de beslissing",NFS
Het polair station is een paradepaardje van ons land.,NFS
"Mevrouw Kitir, we investeren acht miljoen euro voor veiligheid en preventieplannen in Brussel.",CFS
Dat is geen overbodige luxe in een stad als Brussel waar het aantal daklozen jaar na jaar toeneemt.,CFS
"Onze burgers moeten erop kunnen vertrouwen dat de overheid deze essentiële taak, het garanderen van de veiligheid, uitvoert.",NFS
"U verwees daarnet naar wat ik met collega Borsus heb gedaan, met name de voorstelling van “1 jaar Plan Eerlijke Concurrentie in de bouw”.",UFS
"Mijnheer de voorzitter, beste collega’s, mijnheer Dewinter, eerst en vooral wil ik zeggen dat ik niet denk dat ik ooit het probleem of de uitdaging geminimaliseerd heb.",NFS
"U mocht er niet bij zijn toen het over uw bevoegdheid ging in juli, u mag er vandaag niet bij zijn.",NFS
Rusland is bevrijd van het communisme en het is een foute strategie om vandaag de politiek van de Koude Oorlog opnieuw in praktijk te willen brengen en Rusland als een vijand te willen zien terwijl het onze bondgenoot is.,NFS
De mensen vragen zich af wanneer u het geld gaat halen bij de grote fraudeurs en de grote vermogens die in ons land de fiscus ontwijken om geen belasting te moeten betalen.,NFS
"Mijnheer de minister, het samenwerkingsverdrag dat hier vandaag ter goedkeuring voorligt, is bijzonder belangrijk in het kader van onder andere informatieuitwisseling, terreurbestrijding en terrorismedossiers.",NFS
"Het is opmerkelijk om de heer Crusnière lessen te zien geven op het spreekgestoelte in de plenaire vergadering, na de eerder serene debatten in de commissie.",NFS
"Eerst en vooral, mijnheer de staatssecretaris, het project waarover wij gisteren konden lezen beperkt zich tot de Antwerpse context.",UFS
"Zij zou onderhandelen met Europa om de doelstellingen die wij moeten bereiken in het kader van Parijs, te verlagen.",NFS
"Parlementsleden moeten hier met een papiertje staan, terwijl ministers een tekst mogen voorlezen, waarna ze ons op het einde naar de bevoegde persoon verwijzen.",NFS
"A rato van het aantal aanslagen waarmee wij momenteel in Europa worden geconfronteerd, kunnen wij moeilijk van een overwinning spreken, wel integendeel.",NFS
Dat is een hele verbetering waarmee destijds werd gestart onder de bevoegdheid van mevrouw Onkelinx — dat mag ook worden gezegd — en wij hebben nog een en ander verfijnd,NFS
In ons regeerakkoord staat dat wij dat ook willen.,CFS
Tot nu toe zijn wij in het Parlement ietwat op onze honger gebleven in de discussies over de kernuitstap en het energiepact.,NFS
Uiteraard duiken pas dan de problemen met het gebruik op.,NFS
"Gelet op de toegekende spreektijd zal ik niet in details treden over de acties in Irak, maar we nemen deel aan de militaire coalitie, de heropbouw, de humanitaire acties en de strijd tegen de straffeloosheid.",CFS
"Wij zullen dat blijven doen in dossiers als deze, want dit is de enige manier om het vertrouwen in de politiek te herstellen: blijven gaan tot alle mistoestanden bekend zijn.",NFS
"Die bezorgdheid is aanwezig, niet alleen bij de meerderheid maar over alle partijgrenzen heen.",NFS
We eindigen in dit dossier vandaag dus met een bijna-nuloperatie,NFS
Dat betekent een meerwaarde van 137 miljoen euro ten opzichte van wat wij in 2008 hebben betaald en een bruto-ontvangst van 2 miljard euro,CFS
De grote onbekende is hoeveel bewoners van de jungle van Calais bereid zullen zijn om te verhuizen naar de centra die Frankrijk heeft geregeld.,NFS
"Negen jaar geleden hebben we die participatie genomen met als bedoeling de banken, maar vooral het spaargeld van de mensen, te redden",NFS
Vandaag zien wij dat er op het terrein heel veel problemen zijn.,NFS
Dit is wat men begrijpt in Brussel onder jobcreatie: jobdestructie in Vlaanderen.,NFS
"Mijnheer de minister, ik ben blij te horen – mijn collega sprak van extra mensen in Antwerpen – dat u middelen en manschappen vrijmaakt voor WestVlaanderen.",NFS
Voor mij blijven er drie elementen belangrijk om een oplossing voor dat dossier te vinden en ik zal die nog eens herhalen.,NFS
Dat kunnen en mogen wij niet tolereren.,NFS
Een afbouw van onze participatie in die banken drong zich dus op vanaf het ogenblik waarop er een meerwaarde werd gerealiseerd,NFS
Daarom hebben we voorgesteld een federaal adviescomité op te richten voor de vraagstukken betreffende de in het buitenland verblijvende Belgen en het Wetboek van de Belgische nationaliteit te wijzigen wat de verklaring tot behoud van de nationaliteit betreft.,CFS
Toen kon men vrij over die gegevens beschikken.,CFS
"Maar ik begrijp dat de meldingsplichtigen, en dan vooral de banken een houvast willen omdat zij zo sneller de individuele risicoanalyse kunnen uitvoeren.",NFS
"Mijnheer de minister, ik dank u voor uw antwoord.",NFS
Concluderend verklaarde de Europees commissaris voor Voedselveiligheid Andriukaitis open te staan voor die evaluatie.,CFS
"Fiscale fraude bestrijdt men niet door sectoren – wij hebben de twee voorbeelden aangehaald in de commissie, namelijk diamant en tweedehandsvoertuigen – uit ons land of zelfs uit Europa te verdrijven omdat zij geen toegang meer krijgen tot het financiële systeem.",NFS
"U weet dat ik ten persoonlijke titel al vele jaren pleit voor een gezamenlijke kieskring, niet alleen op Europees vlak, maar ook in België.",NFS
"Het zou heel jammer zijn, mocht een dergelijk mooi project te vondeling worden gelegd en uiteindelijk in een schuif belanden.",NFS
Zij zitten op dit ogenblik op een historisch laag niveau.,CFS
"De eerste minister heeft het gezegd, de transparantie zal er komen in het Parlement.",CFS
Ons land is dus een van de achtentwintig landen dat als trouwe bondgenoot binnen de Noord-Atlantische Verdragsorganisatie zijn deel daarvan opneemt onder het leiderschap van Duitsland.,CFS
"Ik meen niet, collega’s, dat dat de bedoeling is",NFS
In een rechtsstaat is het echter aan de rechter om te oordelen.,UFS
Ook het federale niveau subsidieert Samusocial: verscheidene federale instellingen verstrekken rechtstreeks of onrechtstreeks subsidies.,CFS
"Inderdaad, de individuele politieman treft geen schuld.",NFS
"Moeilijke situaties thuis, op school of eender waar zijn nooit een vrijgeleide voor dergelijk gedrag ten aanzien van politiemensen, handelaars en iedereen die zich in een normale samenleving correct probeert te gedragen.",NFS
"We hebben moeten vaststellen dat – dat was de frustratie van de commissie – hoewel de banden tussen het hoofdkantoor en de filialen vennootschapsmatig zeer nauw zijn, er vaak werd gezegd: wij weten daar niets van, het was een ander management, het was voor onze periode.",NFS
Uw laatste vraag ging over cao nr.,US
"Mijnheer de voorzitter, collega's, ik heb gisteren samen met de minister van Defensie de beschuldigingen die werden geuit door de Russische media en door de woordvoerder van het Russische ministerie van Buitenlandse Zaken over een vermeende luchtaanval van de Belgische luchtmacht op het dorp Hassadjek in de regio van Aleppo in de nacht van 17 op 18 oktober 2016, met klem ontkend.",CFS
"Nogmaals, ik laat in het midden wie daar juist en fout in is, maar dat was op basis van een aantal themata die u gewoon niet in het rapport wou zien.",NFS
"Mijnheer de voorzitter, heren ministers, wij zitten met een probleem, met name dat Rusland België ervan beschuldigt dat twee van zijn F-16’s dinsdag een bombardement hebben uitgevoerd waarbij minstens zes burgerslachtoffers zijn gevallen.",CFS
"Ik weet dat ik mijn vraag in principe ook aan de minister van Mobiliteit had kunnen stellen, maar ik gun de nieuwe mobiliteitsminister zijn wittebroodsweken.",NFS
"Er zal extra personeel worden ingezet, met de bijzondere situatie in Brussel.",CFS
"Mijnheer de voorzitter, ik vind dat het minachten van het werk van de experts.",NFS
De Gewesten moeten op hun manier en op hun plaats bij de erkenning van de moskeeën – dat is hun verantwoordelijkheid – ex ante en ex post doen wat moet om de rekeningen zo goed mogelijk te volgen.,NFS
"De grootste bank in België, waarin wij twee bestuurders hebben: geen visie",US
"Kortom, wij zijn ambitieus, wij zijn coherent en wij zullen er alles aan doen om onze doelstellingen te halen.",NFS
Dat wordt u niet gevraagd.,NFS
De fiscaliteit zal overigens voor een stuk nog complexer worden.,NFS
"Ik heb heel wat mails en tweets gekregen en ik hoop dat dit bij dezen nog eens in alle duidelijkheid wordt gesitueerd, zodat iedereen weet wat ik daarmee heb willen zeggen.",NFS
"De initiatieven van de ziekenhuis- groep Jolimont zijn niet het gevolg van mijn beslissingen, maar werden al lang geleden genomen: de nieuwe kraamafdeling in La Louvière werd immers vorige maand ingehuldigd.",CFS
"Dit rapport omvat alle elementen die in de Panamacommissie aan bod gekomen zijn, omdat wij wilden dat alle elementen in dit Parlement konden worden besproken.",NFS
Europa bedrijft de diplomatie van het beheer van de gevolgen van de conflicten.,NFS
"Wat de mensen verwachten van de overheid en van de politiek, is dat een probleem wordt aangepakt.",NFS
"Dat u het nu nog altijd niet doorhebt, is dus zeer begrijpelijk in dat opzicht",NFS
"Dat is een evolutie die ik niet graag zie gebeuren, dus wat die aanhechtingscriteria betreft, volg ik mijn voorganger.",NFS
Daarom is het zo belangrijk dat wij de term belastingsparadijs invullen en uniformeren.,NFS
Voor de extra uren zullen ze geen overuren meer betaald krijgen.,CFS
"Mijnheer de minister, u bent een voluntarist, dat weet ik, en dat blijkt ook uit uw antwoord.",NFS
Ik meen echter dat wij op heel wat vlakken niet zo erg veel verschillen van visie wat betreft de concrete implicatie en praktische uitwerking van deze aanbeveling.,NFS
"In Nederland gaat het bijvoorbeeld over openbare aanbestedingen, terwijl men in België werkt met een systeem van domeinconcessies, waaraan heel wat voorwaarden zijn verbonden.",CFS
"Natuurlijk is er altijd nog een betere oplossing, die door u wordt aangebracht, met name de splitsing van de gezondheidszorg",NFS
Het eerste is de mobiliteit.,NFS
Comeos schat dat de economie ten gevolge van de terreuraanslagen tegenover vorig jaar tot een vijfde is teruggevallen.,CFS
Dat is meer dan een brug te ver.,NFS
 Het stemt mij blij dat ondernemingen en vakbonden zo snel een akkoord bereiken over de organisatie van de sociale verkiezingen,NFS
"Op het moment dat ik las dat er in Antwerpen een nieuw cameranetwerk werd uitgerold rond de haven, wat belangrijk is om de veiligheid van de Antwerpse haven te kunnen garanderen, meende ik dat het nuttig was om te kijken hoe die gegevens kunnen worden gekoppeld.",NFS
De menselijke gevolgen waren immens.,NFS
Wij kunnen niet wachten tot de uitbreiding in het Parlement wordt behandeld.,NFS
"Wij hebben daar allemaal een taak in, niet alleen de ministers en de regering.",NFS
"Als het gaat over fiscale rechtvaardigheid, dan trekken zij de handrem op, dan is het minder, minder en minder.",NFS
"Mijnheer de minister, ik dank u voor de positieve elementen in uw antwoord.",NFS
"Het voorliggende wetsontwerp kadert in de bedoeling van de federale regering om de belangen van de consument te beschermen, zonder echter de ontwikkeling van hernieuwbare energie in de weg te staan.",NFS
Europa is niet in staat om een degelijk antwoord te bieden op de uitdagingen.,NFS
Wij hebben een staatssecretaris voor Buitenlandse Handel.,UFS
"Collega's, in juni 2016 was de koers van BNP Paribas 35,27 euro, vandaag is dat 66 euro",CFS
"U hebt het sociaal overleg zes extra maanden de tijd gegeven, maar er moet worden vastgesteld dat de vakbonds- gedelegeerden het niet willen doen slagen.",NFS
"Telkenmale wanneer er nationale verkiezingen zijn, kijken wij er belangstellend naar uit of, laten wij maar eerlijk zijn, de democratische partijen kunnen standhouden.",NFS
"Er is 10 miljoen euro opgehaald, wat ongeveer zes keer het bedrag is dat naar aanleiding van de Panama Papers in Nederland is opgehaald.",CFS
We wachten nog altijd op het nieuwe beheerscontract en het meerjareninvesteringsplan (MIP) voor de NMBS.,NFS
Ik pleit ervoor dat België meewerkt aan een globale oplossing.,NFS
"Mijnheer de minister, wij zullen niet toelaten dat onze hoofdstad een hellhole wordt.",NFS
"Wat u te vieren had weet ik niet, want van het Zomerakkoord merk ik niets; ik zie alleen herfstgekibbel.",NFS
"Dit is een zaak van vele departementen, die multidisciplinariteit vraagt.",NFS
"Mevrouw de minister, bedankt voor uw antwoord.",NFS
Ik zal u nog een argument erbij geven.,NFS
Maar misschien moeten wij nu ook reeds beginnen nadenken over morgen en overmorgen.,NFS
Ik ben bezorgd over die solidariteit.,NFS
"Mijnheer de voorzitter, collega’s, mijnheer de minister, gisteren en vandaag kon in de kranten en in het rapport van de onafhankelijke vakbond worden gelezen dat de enigszins tegenvallende inkomsten uit belastingen voornamelijk te wijten zouden zijn aan de daling van het personeelsbestand.",CFS
"Wij hebben al heel wat meldingen gekregen, namelijk in totaal 2700 meldingen van overmacht vanwege 1020 verschillende werkgevers.",CFS
"Op dat vlak zijn wij zeker niet het enige land, maar we zijn zeker een van de koplopers in negatieve zin.",NFS
Europa moet nu Europese waarnemers eisen.,NFS
"Inderdaad, als onderdeel van het Panamapakket werd ook beslist om het aantal fiscale ambtenaren dat aan Justitie ter beschikking zou worden gesteld, meer dan te verdubbelen, van 15 naar 33.",CFS
U reageerde in een aantal Vlaamse kranten met de mededeling dat u niet over aanwijzingen beschikt dat het offensief in Mosoel een concrete dreiging met zich meebrengt.,CFS
Er is de categorie van zij die werden tegengehouden en een mislukte poging hebben gedaan om naar Syrië te gaan.,UFS
We leveren ook een bijdrage in Jordanië en in Libanon.,CFS
De wapenstilstand moet worden uitgebreid om humanitaire interventies toe te laten en politieke oplossingen te zoeken.,NFS
"Met andere woorden, wij moeten de kerncentrales niet sluiten.",NFS
In die zin wil ik graag u mening daarover horen.,NFS
"Niettemin zitten wij met een probleem, want er zijn helaas ook niet-gezond denkende mensen hierbuiten die blijven denken dat België verantwoordelijk is voor dit bombardement en dit zou hen wel eens op slechte plannen kunnen brengen.",NFS
Het was Turkije dat gisteren een staakt-het-vuren faciliteerde rond Aleppo.,CFS
U zult te gepasten tijde tekst en uitleg geven bij het Stroomplan.,NFS
"Zijn actie om de gemoederen te bedaren, had een averechts effect.",NFS
"Ik wil u graag geloven, maar zou toch formeel bewijs willen krijgen dat onze F- 16’s die bombardementen niet hebben uitgevoerd.",NFS
Maar ons antwoord doet er niet toe.,NFS
"Ik begrijp dan ook niet waarom sommigen hier een strijdpunt van maken, terwijl ze zich in 2013, toen er een vergelijkbare operatie werd uitgevoerd, veel terughoudender opstelden",NFS
"Als u zoiets zegt, kunt u niet anders verwachten dan dat wij vertellen hoe het in de realiteit is gegaan.",NFS
Opnieuw mislopen we fiscale inkomsten.,NFS
"De pensioenhervormingen van deze en de vorige regering hebben de vergrijzingsfactuur met 1,9 % van het bbp doen dalen en het armoederisico bij de senioren is gedurende de laatste tien jaar met een derde afgenomen.",CFS
Ik ben blij met uw antwoord dat we dat aandeel op termijn verder zullen afbouwen,NFS
"Bedrijven mogen buiten de pool rekruteren, maar ze moeten toch een toeslag op hun loonmassa van 2,5 % betalen en de loonkosten gaan toch omhoog, in plaats van omlaag wat toch de doelstelling van deze regering is.",CFS
"Mijnheer de voorzitter, geachte ministers, bedankt voor uw duidelijk antwoord.",NFS
Wij moeten de rechtsregels respecteren en de regering heeft het recht en de plicht om de rechtsmiddelen uit te putten.,NFS
"Mijnheer de voorzitter, mijnheer de minister, een trein uit Walibi werd geterroriseerd door allochtone relschoppers; er waren aanvallen tegen bussen van De Lijn in Anderlecht en Molenbeek; in een straat in Anderlecht gingen Syriërs en allochtone buurtbewoners massaal op de vuist; in een straat in het centrum van Brussel werden zaterdagnacht, na afloop van een voetbalmatch van de Marokkaanse nationale ploeg, Vlaamse winkels geplunderd en vernield, werd er brand gesticht en slag geleverd met onze politiemensen en met brandweerlui.",CFS
En vergeet in uw bilaterale contacten ook Nederland niet.,NFS
Overeenkomstig de normen voor de erkenning van de kraamafdelingen moeten er evenwel een bepaald aantal vroedvrouwen en gekwalificeerde personeelsleden zijn om een 24-uursdienst te verlenen.,CFS
Ik wil nog een andere maatregel in herinnering brengen.,NFS
"Mijnheer de voorzitter, mijnheer de minister, ik dank u voor uw antwoord.",NFS
"Het is niet zo dat de basis, de start, het ontnemen van gegevens, niet tot een relevant maatschappelijk probleem leidt.",NFS
Belgen buiten de EU konden dat twintig jaar later nog altijd niet.,CFS
"Een van die kerntaken is zeker en vast ervoor te zorgen dat de vluchtelingen die naar Engeland willen gaan, en die op parkings in vrachtwagens klimmen, kunnen worden opgepakt.",NFS
Ik vind het de opdracht van de Vlaamse minister en de federale staatssecretaris voor Gelijke Kansen om daartegen op te treden.,NFS
Net zoals mijn collega's betreur ik uw beslissing om het beroep van psychomotorisch therapeut niet te erkennen.,NFS
Ik denk dat dit zeer belangrijk zal zijn voor het inschatten van de situatie en om een antwoord te krijgen op veel zaken die nu nog onbekend zijn.,NFS
Iedereen is beducht voor bewegingen vanuit Syrië of Irak naar onze regio.,NFS
"Het pleziert me om te horen dat u, net als voor de dokters, ook voor de verpleegkundigen dat begrip aan de dag wilt leggen.",NFS
Het gaat trouwens om veel laaggeschoolden.,NFS
"Het is ook een knappe financiële operatie, met een meerwaarde én dividenden die voor 2017 behouden blijven",CFS
"Ik twijfel er niet aan dat de oppositie, die me vorige week ei zo na haar steun toezegde in verband met het vervoer in landelijke gebieden, zich vandaag bij mij zal aansluiten",NFS
Het ontbreekt de politie inderdaad sedert 2003 aan de machtiging om gebruik te maken van data uit de Kruispuntbank van de voertuigen.,CFS
Wij hebben in dit land politici nodig met fatsoen.,NFS
"Ik heb er alle vertrouwen in dat een en ander goed kan worden aangepakt, met de nodige ondersteuningsmaatregelen.",NFS
"Mijnheer de minister, ik kan het u moeilijk persoonlijk kwalijk nemen, aangezien u het antwoord niet zelf hebt geschreven, maar sta mij toe te zeggen dat het antwoord weinig betekenisvol is.",NFS
Bovendien is er extra capaciteit aan gasinstallaties nodig.,CFS
We zullen het vastgelegde budget niet overschrijden.,NFS
Dat betreur ik omdat een in een paritair comité bereikt akkoord een solide basis was geweest voor een aanvaardbare regeling inzake de gegarandeerde dienstverlening.,NFS
"U kunt 940 miljoen halen bij de multinationals en bij de miljonairs, maar dat doet u niet.",CFS
"Ik zal de schouders zetten onder de beleidsmatige en technische voorbereiding om ervoor te zorgen dat de bijkomende economische en sociale hervormingen in de thematische ministerraden en tijdens de volgende begrotingsrondes aan bod kunnen komen, met de bedoeling voor steeds meer banen te zorgen, het vrije initiatief aan te zwengelen en te zorgen voor meer billijkheid en rechtvaardigheid in de verdeling van de inspanningen.",NFS
"Ik wil nog op een drietal punten ingaan: het elektronisch stemmen, stemrecht en stemplicht, en het bewuste vierde criterium.",NFS
" Mijnheer de voorzitter, mijnheer de minister, ik dank u voor uw antwoord",NFS
"Mevrouw de minister, met alle respect, u hebt een plan van aanpak.",NFS
"Ik weet het, voor u is dat geen argument",NFS
"De naleving van de meldingsplicht mag er niet toe leiden dat de meldingsplichtige instellingen, in het bijzonder de financiële instellingen, overgaan tot een sectorale risicoanalyse en de uitsluiting van klanten werkzaam in een bepaalde sector.",NFS
"Degene die de kruispuntbank beheert, heeft die gegevens ook steeds aan de politie ter beschikking gesteld, en ook niet gecontroleerd of er een machtiging was.",CFS
"Collega’s, mijnheer de premier, deze week vielen wij allemaal van de ene verbazing in de andere, toen wij hoorden wat er gaande was bij Samusocial.",NFS
Men voelt zich baas in de straat.,NFS
Wij moeten ons voorbereiden op het toekomstige landschap,NFS
In deze brief wordt onder andere gezegd dat er informatie moet worden verzameld over anti-Turkse activiteiten in ons land.,CFS
"Als wij het hebben over het verleden, dan zou ik willen oproepen om de amnesie die hier vandaag tentoongespreid wordt, achterwege te laten",NFS
Ik hoop dat dit ook zo zal zijn.,NFS
U weet dat het mijn natuur niet is om lang te studeren maar wel om snel te gaan.,NFS
"U zou er beter aan doen uw dossiers wat grondiger te bestuderen, zodat u aan geloofwaardigheid wint in de ogen van uw eigen meerderheid!",NFS
Nultolerantie en lik-op-stukbeleid zijn geen nieuwe woorden.,NFS
Dat is vooral het geval voor melk en zuivelproducten.,NFS
"Als men het recht op een eerlijk proces hard wil maken, dan moet men inderdaad in vertaling voorzien als men de taal van de procedure niet begrijpt.",NFS
"Hoe zult u in godsnaam de problemen oplossen, als u ze niet eens durft te benoemen!",NFS
"Ook daarvoor moet een boordtabel worden opgesteld, wat trouwens in de commissie aan het Parlement is beloofd.",CFS
"Dat er transparantie wordt gevraagd, is niet meer dan normaal.",NFS
"De ernst van die situatie is budgettair – ik kom daarop straks nog even terug –, maar nog belangrijker is dat de overheid elk jaar 1000 euro per persoon meer uitgeeft dan ze binnenkrijgt en dat sommigen levenslang bijdragen zonder dat zij daarvan iets terugkrijgen; dat is solidariteit.",CFS
Dat zijn toch wel fundamentele bezwaren.,NFS
"Maak daar gebruik van, collega’s.",NFS
Ook vragen wij u om na te gaan wat er op dat vlak gebeurt in onze buurlanden.,NFS
"Zorgen dat er een eengemaakt commando is, is een federale bevoegdheid.",CFS
